,메뉴명,가격
0,[반찬] 사골 우거지 곰탕,"4,900"
1,[착한도시락] 참치야채 감초고추장 사골 우거지 곰탕 정식,"7,500"
2,[착한도시락] 빅치킨마요 사골 우거지 곰탕 정식,"7,900"
3,[착한도시락] 제육 사골 우거지 곰탕 정식,"8,900"
4,[착한도시락] 사골 우거지 곰탕,"6,500"
5,알통팩(알찬 통다리 치킨팩),"11,900"
6,잡채볶음밥(중화풍 매운맛),"5,500"
7,잡채볶음밥(오리지널),"5,300"
8,해바라기,"10,000"
9,핫 치즈 닭갈비덮밥,"5,900"
10,오리지널 치즈 닭갈비덮밥,"5,900"
11,매화,"10,000"
12,진달래,"7,500"
13,개나리,"8,500"
14,돈까스도련님고기고기,"6,000"
15,탕수육도련님고기고기,"5,800"
16,새치 고기고기,"6,700"
17,돈치 고기고기,"5,800"
18,숯불직화구이,"6,500"
19,소불고기,"5,400"
20,메가치킨제육,"7,000"
21,칠리 찹쌀탕수육도련님,"4,200"
22,동백,"5,800"
23,치킨제육,"4,700"
24,돈까스도련님,"4,500"
25,제육볶음,"4,200"
26,돈치스팸 도시락,"4,900"
27,제육 김치찌개 정식,"8,200"
28,제육 김치 부대찌개 정식,"8,500"
29,돈치스팸 김치 부대찌개 정식,"8,500"
30,빅치킨마요 김치 부대찌개 정식,"7,500"
31,치킨마요 김치 부대찌개 정식,"6,900"
32,빅치킨마요 김치찌개 정식,"7,000"
33,치킨마요 김치찌개 정식,"6,500"
34,메가스팸마요,"5,600"
35,스팸마요,"3,700"
36,메가치킨마요,"5,800"
37,왕치킨마요,"4,800"
38,빅치킨마요,"4,100"
39,치킨마요,"3,500"
40,참치마요,"3,500"
41,돈치마요,"3,800"
42,돈까스 카레,"4,500"
43,스팸 김치볶음밥,"4,700"
44,김치볶음밥,"3,900"
45,스팸철판볶음밥,"4,500"
46,소불고기 철판볶음밥,"4,700"
47,나시고랭,"6,000"
48,묵은지 김치찌개,"4,500"
49,김치 부대찌개,"5,800"
50,숯불직화구이 덮밥,"5,900"
51,마파두부 덮밥,"5,000"
52,왕카레돈까스덮밥,"5,900"
53,새우돈까스 덮밥,"4,100"
54,돈까스 덮밥,"4,000"
55,소불고기 감초고추장 비빔밥,"5,200"
56,시골제육 두부강된장 비빔밥,"5,000"
57,참치야채 감초고추장,"3,500"
58,튼튼도시락,"5,000"
59,토네이도 소세지 파스타,"5,500"
60,트리플 치즈 파스타,"5,500"
61,토마토 미트 파스타,"4,500"
62,반찬 계란말이,"2,500"
63,반찬 묵은지김치찌개,"4,000"
64,반찬 카레,"2,800"
65,반찬 김치 부대찌개,"4,500"
66,반찬 치킨,"3,600"
67,반찬 고기고기,"3,400"
68,반찬 돈까스 도련님,"3,800"
69,반찬 제육볶음,"3,200"
70,반찬 토네이도 소세지,"2,600"
71,반찬 반달돈까스,"2,800"
72,뉴 감자고로케,"2,700"
73,미니 찹쌀핫도그,"2,500"
74,미니 찹쌀탕수육,"2,200"
75,케이준후라이,"1,900"
76,후라이드 순살(중),"7,500"
77,후라이드 순살(소)_양념치킨소스,"4,000"
78,후라이드 순살(소)_케이준소스,"4,000"
79,오리지널 닭강정(중),"8,000"
80,오리지널 닭강정(소),"3,400"
81,오징어젓갈,500
82,한솥 두부강된장소스,"1,800"
83,한솥 감초볶음고추장소스,500
84,볶음김치,500
85,김치,400
86,무말랭이 무침,400
87,한솥밥,"1,000"
88,현미밥,"1,700"
89,리얼 티라미수 찰떡,"1,500"
90,리얼꿀 미니호떡,"2,200"
